AddressCodeID,HouseNumber,StreetDorm,City,AddressNote,Longitude,Lattitude,FullAdress
104,422,Blakely Court,Ann Arbor,,,,422 Blakely Court
105,3157,Bluett Road,Ann Arbor,,,,3157 Bluett Road
107,2797,Braeburn Circle,Ann Arbor,,,,2797 Braeburn Circle
108,2885,Braeburn Circle,Ann Arbor,,,,2885 Braeburn Circle
109,3082,Braeburn Circle,Ann Arbor,,,,3082 Braeburn Circle
110,3151,Braeburn Circle,Ann Arbor,,,,3151 Braeburn Circle
111,3245,Braeburn Circle,Ann Arbor,,,,3245 Braeburn Circle
2161,2513,Braeburn Circle,Ann Arbor,,,,2513 Braeburn Circle
113,1743,Broadside St.,Ann Arbor,,,,1743 Broadside St.
114,1210,Broadway St.,Ann Arbor,,42.290752,-83.735568,1210 Broadway St.
148,1203,Brooklyn Ave.,Ann Arbor,,,,1203 Brooklyn Ave.
116,745,Brooks St.,Ann Arbor,,,,745 Brooks St.
117,448,Brookside Dr. ,Ann Arbor,,,,448 Brookside Dr. 
118,818,Brown St.,Ann Arbor,,,,818 Brown St.
119,819,Brown St.,Ann Arbor,,,,819 Brown St.
120,823,Brown St.,Ann Arbor,,,,823 Brown St.
121,824,Brown St.,Ann Arbor,,,,824 Brown St.
122,829,Brown St.,Ann Arbor,,,,829 Brown St.
123,834,Brown St.,Ann Arbor,,,,834 Brown St.
125,917,Brown St.,Ann Arbor,,42.269689,-83.748323,917 Brown St.
126,818,Browns St.,Ann Arbor,,,,818 Browns St.
127,2939,Buena Vista Ave.,Ann Arbor,,,,2939 Buena Vista Ave.
7,,Bursley,Ann Arbor,dorm,42.293935,-83.720503,Bursley
7.1,,Bursley - Bartlett,Ann Arbor,dorm,,,Bursley - Bartlett
7.2,,Bursley - Douglas,Ann Arbor,dorm,,,Bursley - Douglas
7.8,,Bursley - Hamilton,Ann Arbor,dorm,,,Bursley - Hamilton
7.3,,Bursley - Lewis,Ann Arbor,dorm,,,Bursley - Lewis
7.4,,Bursley - Rotvig,Ann Arbor,,,,Bursley - Rotvig
7.5,,Bursley - Sanford,Ann Arbor,dorm,,,Bursley - Sanford
7.6,,Bursley - Van Duren,Ann Arbor,dorm,,,Bursley - Van Duren
7.7,,Bursley - VanHoosen,Ann Arbor,dorm,,,Bursley - VanHoosen
132,1113,Bvdding Rd.,Ann Arbor,,,,1113 Bvdding Rd.
133,1117,Bydding Rd.,Ann Arbor,,,,1117 Bydding Rd.
134,1125,Bydding Rd.,Ann Arbor,,,,1125 Bydding Rd.
138,1502,Cambridge Rd.,Ann Arbor,,42.270246,-83.729583,1502 Cambridge Rd.
139,1415,Cambridge Rd.,Ann Arbor,,,,1415 Cambridge Rd.
137,1722,Cambridge St.,Ann Arbor,,,,1722 Cambridge St.
1026,,Catherine and Glen,Ann Arbor,,,,Catherine and Glen
21,1009,Catherine St.,Ann Arbor,,42.283559,-83.736388,1009 Catherine St.
146,1005,Catherine St.,Ann Arbor,,42.283457,-83.7367,1005 Catherine St.
