id,AddressCodeID,HouseNumber,StreetDorm,City,AddressNote,address,latitude,longitude,
299,2023,420,East Quad - Anderson,Ann Arbor,,420 East Quad - Anderson,42.27295805,-83.73515949,
308,574,817,Edward St.,Ann Arbor,,817 Edward St.,42.289539,-83.749757,
314,577,3484,Ewald Circle,Ann Arbor,,3484 Ewald Circle,0,0,unsure - can find ewald circle but is in detroit
317,1152,1052,FerdonÎê_ St.,Ann Arbor,,1052 FerdonÎê_ St.,42.268447,-83.725784,unsure - should be ferdon street - there is not one but a ferdon road
321,1154,,Fifth Ave. and Hill St.,Ann Arbor,,Fifth Ave. and Hill St.,42.271815,-83.746637,
343,704,1303,Gardner St.,Ann Arbor,,1303 Gardner St.,42.263109,-83.733513,gardner ave?
344,1184,1203,Gardner St.,Ann Arbor,,1203 Gardner St.,42.263071,-83.734565,gardner ave?
371,1210,2132,Glencoe Hills Drive,Ann Arbor,,2132 Glencoe Hills Drive,42.256951,-83.676919,
379,1225,3565,Green Brier,Ann Arbor,,3565 Green Brier,42.298783,-83.690948,green brier blvd
388,1234,923,Greenwood  St.,Ann Arbor,,923 Greenwood  St.,42.269543,-83.737811,greenwood ave?
389,1235,940,Greenwood  St.,Ann Arbor,,940 Greenwood  St.,42.269408,-83.736915,greenwood ave?
390,1233,916,Greenwood St.,Ann Arbor,,916 Greenwood St.,42.269287,-83.737784,greenwood ave?
399,668,730,Haven Ave.,Ann Arbor,,730 Haven Ave.,42.272104,-83.737029,
400,727,709,Haven Ave.,Ann Arbor,,709 Haven Ave.,42.27315,-83.737081,
401,1249,722,Haven Ave.,Ann Arbor,,722 Haven Ave.,42.272432,-83.736971,
402,1250,21,Havner Square?,Ann Arbor,,21 Havner Square?,0,0,unsure
403,1254,2548,Hawks Rd.,Ann Arbor,,2548 Hawks Rd.,42.250239,-83.670577,hawks ave?
404,1255,5302,Hazel Vandenburg Co-op,Ann Arbor,,5302 Hazel Vandenburg Co-op,0,0,unsure
431,1275,200,Hinsdale House,Ann Arbor,,200 Hinsdale House,42.27295805,-83.73515949,a house of EQ
432,1276,203,Hinsdale House,Ann Arbor,,203 Hinsdale House,42.27295805,-83.73515949,a house of EQ
433,728,,Hinsdale House,Ann Arbor,Check dorm?,Hinsdale House,42.27295805,-83.73515949,a house of EQ
435,1280,605,Hoover  St.,Ann Arbor,,605 Hoover  St.,42.269857,-83.74138,unsure east or west
436,1281,115,Hoover St.,Ann Arbor,,115 Hoover St.,42.269375,-83.749114,
444,2241,415,Huron St.,Ann Arbor,,415 Huron St.,0,0,unsure if east or west
445,1295,405,Huron Towers,Ann Arbor,,405A Huron Towers,42.285438,-83.717332,huron towers apartments
446,2203,426,Ingalls St.,Ann Arbor,,426 Ingalls St.,42.285082,-83.738559,n. ingalls?
454,1310,1934,Jackson St.,Ann Arbor,,1934 Jackson St.,42.281344,-83.772534,jackson ave?
455,1311,12,Jefferson St.,Ann Arbor,,12 Jefferson St.,0,0,unsure west or east
456,1313,317,Jefferson St.,Ann Arbor,,317 Jefferson St.,0,0,unsure west or east
457,1314,520,Jefferson St.,Ann Arbor,,520 Jefferson St.,0,0,unsure west or east
458,719,1474,Jewett St.,Ann Arbor,,1474 Jewett St.,42.254248,-83.727288,jewett ave?
461,1319,1306,Joliet Place,Ann Arbor,,1306 Joliet Place,0,0,unsure - only found one in detroit
463,1320,7800,Judd Road,Ann Arbor,,7800 Judd Road,0,0,"unsure, didn't find one in ann arbor"
469,1326,314,Kelsey,Ann Arbor,,B314 Kelsey,0,0,"unsure, found kelsey circle but not 314"
475,1333,802,Kingsley St.,Ann Arbor,,802 Kingsley St.,0,0,unsure east or west
476,717,320,Koch St.,Ann Arbor,,320 Koch St.,42.272071,-83.752131,koch ave?
477,1337,112,Koch St.,Ann Arbor,,112 Koch St.,42.272156,-83.750357,koch ave?
491,2092,1116,Lawyers Club,Ann Arbor,,1116 Lawyers Club,42.274717,-83.739397,
492,1353,2421,Ledyard St.,Ann Arbor,,2421 Ledyard St.,0,0,unsure
502,708,541,Longshore Drive,Ann Arbor,,541 Longshore Drive,42.29155,-83.740882,from google maps
