address,Lon,Lat
1050 Wall St.,-83.735119,42.287833
Madison St.,-83.744935,42.273777
304 S. 5th Ave.,-83.74615,42.279468
215 N. 5th Ave.,-83.746315,42.282796
702 N. 5th Ave.,-83.745118,42.286755
213 Beakes St.,-83.746535,42.28592
622 Ashley St.,-83.74951,42.286046
146 Phillip,-83.747707,42.269485
1523 Washtenaw Ave.,-83.729545,42.273614
1021 Catherine St.,-83.734075,42.283198
318 E. Jefferson St.,-83.745397,42.275849
819 Green St.,-83.747494,42.270702
Fletcher Hall,-83.719072,42.257468
1075 Catherine St.,-83.733778,42.283201
603 N. 5th Ave.,-83.746128,42.286203
Ann St.,-83.740238,42.282393
1055 Wall St.,-83.734364,42.287862
Huron St.,-83.741151,42.281494
1340 Volland,-83.73144,42.278673
1439 University Terrace,-83.73571,42.268673
1502 Cambridge Rd.,-83.729583,42.270246
502 E. Madison,-83.742818,42.273922
1324 Volland St.,-83.732406,42.277736
727 E. Kingsley,-83.739845,42.285283
909 Woodlawn Ave.,-83.737618,42.265314
713 E. Kingsley St.,-83.740387,42.285126
612 E. Madison St.,-83.741281,42.274423
135 Adams Ave.,-83.7469,42.272034
604 E. Madison St.,-83.741867,42.274373
733 S. State St.,-83.73886,42.22908
3558 State St.,-83.738201,42.227698
834 Greene St.,-83.747538,42.271291
929 Woodlawn Ave.,-83.736271,42.265358
Sigma Phi House,-83.729593,42.271127
317 N. Thayer St.,-83.74005,42.283648
923 Woodlawn Ave.,-83.736714,42.265343
206 14th St.,-83.733851,42.282876
1015 E. Catherine St.,-83.736131,42.283531
808 Green St.,-83.747751,42.271549
21 E. Jefferson St.,-83.7312,42.280022
1805 Village Green Ln.,-83.671557,42.277981
121 Hoover St.,-83.748595,42.269689
908 Fuller St.,-83.738199,42.285722
906 Packard St.,-83.671121,42.245163
10 Maynard St.,-83.742012,42.27803
925 N. University Ave.,-83.736154,42.278766
25 14th St.,-83.733123,42.278343
1008 Woodlawn Ave.,-83.73507,42.264923
607 Hill St.,-83.741314,42.272134
514 S. Forest,-83.733529,42.275935
2107 S. Washtenaw,-83.718586,42.265527
915 Oakland Ave.,-83.738126,42.270834
105 Summit St.,-83.748578,42.28874
5509 Stockwell Hall,-83.731407,42.278653
2107 Washtenaw Ave.,-83.721549,42.26734
1700 Main St.,-83.749649,42.252053
516 Detroit St.,-83.744489,42.285222
1917 Geddes Ave.,-83.723701,42.275797
122 E. Washington St.,-83.747555,42.280282
1210 Broadway St.,-83.735568,42.290752
501 5th Ave.,-83.746096,42.284971
1102 Oakland Ave.,-83.735434,42.27005
525 Benjamin St.,-83.742059,42.271206
1027 E. Catherine St.,-83.736125,42.283584
119 Park Terrace,-83.736918,42.270711
604 E. Madison,-83.741867,42.274373
301 14th St.,-83.734505,42.281915
504 N. 5th St.,-83.745676,42.284873
942 Woodlawn Ave.,-83.736116,42.264886
549 E. University Ave.,-83.735725,42.272074
929 Woodlaw Ave.,-83.736271,42.265358
402 Observatory St.,-83.731285,42.2782
934 Woodlawn Ave.,-83.736251,42.264881
122 Reynolds St.,-83.7312,42.2682
1335 State St.,-83.738856,42.18855
640 Oxford Rd.,-83.72688,42.273794
519 N. 4th Ave.,-83.747049,42.2852
415 Church St.,-83.73446,42.277086
4 N. State St.,-83.740905,42.281231
3 Volland,-83.732748,42.278236
37 E. Kingsley St.,-83.747879,42.284887
114 Hill St.,-83.748131,42.271691
1021 S. Greene St.,-83.746358,42.27105
816 Greene St.,-83.747884,42.271183
617 N. 4th Ave.,-83.747379,42.285971
714 Fuller St.,-83.740134,42.286711
520 Packard St.,-83.743024,42.272538
320 Thompson St.,-83.743479,42.278734
913 Mary St.,-83.74148,42.270642
Corner of 4th and williams,-83.747459,42.27797
930 Woodlawn Ave.,-83.736399,42.264877
212 14th St.,-83.7312,42.27965
324 Thompson St.,-83.743477,42.278649
915 Woodlawn Ave.,-83.737286,42.265325
514 N. 5th Ave.,-83.745686,42.285354
5th Ave. and Hill St.,-83.746487,42.271812
915 Green St.,-83.747516,42.271469
1011 S. State St.,-83.738843,42.188576
326 Beakes Ave.,-83.744482,42.286354
910 Green St.,-83.747566,42.270129
613 N. 5th Ave.,-83.74598,42.286629
603 Oxford Rd.,-83.725237,42.274673
318 Beakes St.,-83.74502,42.286351
44 William St.,-83.748952,42.277964
504 N. 4th Ave.,-83.747053,42.285134
227 S. Ingalls St.,-83.737739,42.279531
1017 Oakland Ave.,-83.737295,42.270476
809 Kingsley St.,-83.739353,42.285249
1923 Geddes Ave.,-83.723308,42.275825
1126 E. Ann St.,-83.734084,42.282015
3 Harvard Place,-83.721594,42.276005
Northwoods,-83.716202,42.298877
407 E. Kingsley St.,-83.743358,42.285011
718 N 4 Ave.,-83.746037,42.28772
236 S 12th Ann Arbor Sigma Chi,-83.737522,42.27919
218 Glen Ave.,-83.735369,42.282532
508 E. Madison St.,-83.742843,42.273927
914 Fuller St.,-83.738018,42.285681
